Radius (m),Diameter_DBH (cm),Height (m),Num_Points,Height_raw (m),Slenderness,AGB_kg,Carbon_kg,DBH_Class,DBH_Height_Ratio
0.0785,15.7000,14.1300,167,30.5200,194.3949,80.3662,37.7721,"[15, 20)",1.1111
0.0783,15.6700,14.1030,86,37.1400,237.0134,79.9343,37.5691,"[15, 20)",1.1111
0.0765,15.3100,13.7790,87,31.9800,208.8831,74.8685,35.1882,"[15, 20)",1.1111
0.0765,15.3000,13.7700,87,46.6000,304.5752,74.7308,35.1235,"[15, 20)",1.1111
0.0762,15.2500,13.7250,113,60.1300,394.2951,74.0449,34.8011,"[15, 20)",1.1111
0.0759,15.1900,13.6710,115,29.2000,192.2317,73.2272,34.4168,"[15, 20)",1.1111
0.0752,15.0400,13.5360,109,33.4300,222.2739,71.2084,33.4679,"[15, 20)",1.1111
0.0750,14.9900,13.4910,112,48.5100,323.6157,70.5435,33.1555,"[10, 15)",1.1111
0.0746,14.9300,13.4370,100,39.3600,263.6303,69.7510,32.7830,"[10, 15)",1.1111
0.0743,14.8500,13.3650,99,46.4000,312.4579,68.7033,32.2905,"[10, 15)",1.1111
0.0737,14.7400,13.2660,63,42.4400,287.9240,67.2793,31.6213,"[10, 15)",1.1111
0.0732,14.6500,13.1850,119,31.8300,217.2696,66.1285,31.0804,"[10, 15)",1.1111
0.0731,14.6100,13.1490,121,65.7500,450.0342,65.6211,30.8419,"[10, 15)",1.1111
0.0720,14.4000,12.9600,53,31.7100,220.2083,62.9986,29.6094,"[10, 15)",1.1111
0.0717,14.3300,12.8970,63,28.8400,201.2561,62.1397,29.2057,"[10, 15)",1.1111
0.0716,14.3200,12.8880,127,59.6800,416.7598,62.0177,29.1483,"[10, 15)",1.1111
0.0715,14.3100,12.8790,187,59.5700,416.2823,61.8957,29.0910,"[10, 15)",1.1111
0.0712,14.2300,12.8070,122,37.5500,263.8791,60.9259,28.6352,"[10, 15)",1.1111
0.0710,14.2000,12.7800,115,34.4000,242.2535,60.5648,28.4655,"[10, 15)",1.1111
0.0709,14.1800,12.7620,65,61.3900,432.9337,60.3248,28.3527,"[10, 15)",1.1111
0.0706,14.1200,12.7080,221,54.0300,382.6487,59.6085,28.0160,"[10, 15)",1.1111
0.0704,14.0900,12.6810,144,60.1500,426.8985,59.2524,27.8486,"[10, 15)",1.1111
0.0703,14.0500,14.7500,76,14.7500,104.9822,65.2984,30.6902,"[10, 15)",0.9525
0.0699,13.9900,12.5910,62,36.1300,258.2559,58.0754,27.2955,"[10, 15)",1.1111
0.0698,13.9600,12.5640,156,49.1300,351.9341,57.7253,27.1309,"[10, 15)",1.1111
0.0694,13.8700,12.4830,51,64.7800,467.0512,56.6831,26.6410,"[10, 15)",1.1111
0.0692,13.8500,12.4650,51,63.7900,460.5776,56.4531,26.5330,"[10, 15)",1.1111
0.0685,13.7000,12.3300,127,65.9100,481.0949,54.7477,25.7314,"[10, 15)",1.1111
0.0685,13.7000,12.3300,146,43.1700,315.1095,54.7477,25.7314,"[10, 15)",1.1111
0.0683,13.6600,12.2940,72,29.8200,218.3016,54.2986,25.5203,"[10, 15)",1.1111
0.0678,13.5600,12.2040,80,56.9800,420.2065,53.1863,24.9975,"[10, 15)",1.1111
0.0678,13.5600,12.2040,115,35.7900,263.9381,53.1863,24.9975,"[10, 15)",1.1111
0.0675,13.4900,12.1410,74,55.1500,408.8213,52.4165,24.6357,"[10, 15)",1.1111
0.0668,13.3500,12.0150,72,38.0800,285.2434,50.8985,23.9223,"[10, 15)",1.1111
0.0667,13.3400,12.0060,124,60.9500,456.8966,50.7911,23.8718,"[10, 15)",1.1111
0.0664,13.2900,11.9610,97,60.5000,455.2295,50.2567,23.6206,"[10, 15)",1.1111
0.0664,13.2700,11.9430,78,24.4100,183.9488,50.0439,23.5206,"[10, 15)",1.1111
0.0664,13.2700,11.9430,143,55.1100,415.2977,50.0439,23.5206,"[10, 15)",1.1111
0.0662,13.2500,11.9250,52,21.8900,165.2075,49.8317,23.4209,"[10, 15)",1.1111
0.0662,13.2300,11.9070,69,54.6200,412.8496,49.6201,23.3215,"[10, 15)",1.1111
0.0659,13.1800,11.8620,56,66.9500,507.9666,49.0937,23.0740,"[10, 15)",1.1111
0.0655,13.1000,11.7900,109,29.6300,226.1832,48.2589,22.6817,"[10, 15)",1.1111
0.0655,13.1000,11.7900,83,39.5100,301.6031,48.2589,22.6817,"[10, 15)",1.1111
0.0651,13.0100,11.7090,99,36.1200,277.6326,47.3307,22.2454,"[10, 15)",1.1111
0.0647,12.9300,11.6370,54,49.6800,384.2227,46.5154,21.8622,"[10, 15)",1.1111
0.0643,12.8600,11.5740,85,25.5200,198.4448,45.8095,21.5305,"[10, 15)",1.1111
0.0638,12.7700,11.4930,63,64.1300,502.1926,44.9121,21.1087,"[10, 15)",1.1111
0.0634,12.6800,11.4120,98,74.0600,584.0694,44.0262,20.6923,"[10, 15)",1.1111
0.0632,12.6400,11.3760,69,42.6400,337.3418,43.6361,20.5089,"[10, 15)",1.1111
0.0628,12.5500,11.2950,76,31.0200,247.1713,42.7665,20.1002,"[10, 15)",1.1111
0.0624,12.4800,11.2320,176,52.1100,417.5481,42.0979,19.7860,"[10, 15)",1.1111
0.0619,12.3700,11.1330,138,44.1800,357.1544,41.0610,19.2987,"[10, 15)",1.1111
0.0606,12.1300,10.9170,131,44.1200,363.7263,38.8562,18.2624,"[10, 15)",1.1111
0.0599,11.9900,10.7910,61,44.4500,370.7256,37.6060,17.6748,"[10, 15)",1.1111
0.0584,11.6900,10.5210,80,33.6500,287.8529,35.0153,16.4572,"[10, 15)",1.1111
0.0583,11.6600,10.4940,68,46.7100,400.6003,34.7627,16.3385,"[10, 15)",1.1111
0.0581,11.6200,10.4580,105,48.9900,421.6007,34.4278,16.1811,"[10, 15)",1.1111
0.0554,11.0700,5.5700,68,5.5700,50.3162,20.1886,9.4886,"[10, 15)",1.9874
0.0535,10.7000,9.6300,86,62.1600,580.9346,27.2897,12.8261,"[10, 15)",1.1111
0.0533,10.6600,9.5940,145,35.3500,331.6135,27.0032,12.6915,"[10, 15)",1.1111
0.0526,10.5200,9.4680,123,27.1300,257.8897,26.0161,12.2276,"[10, 15)",1.1111
