cluster_id,x,y,base_z,radius_m,diameter_cm,height_m,height_raw_m,slenderness,agb_kg,carbon_kg,num_points,generated_at
10,548968.7193,4118011.7768,604.9800,2.5876,517.5282,1.4400,1.4400,0.2782,29320.6508,13780.7059,9316,2026-01-27T13:54:01.164713
106,548996.3233,4118036.7347,604.9800,2.1091,421.8236,1.4900,1.4900,0.3532,19399.4720,9117.7518,4321,2026-01-27T13:54:01.164713
118,548996.2027,4118044.3089,604.9800,1.8378,367.5630,1.4900,1.4900,0.4054,14460.3428,6796.3611,5644,2026-01-27T13:54:01.164713
79,549015.6402,4118032.7419,605.3400,1.5226,304.5255,1.1299,1.1299,0.3711,8012.4790,3765.8651,2516,2026-01-27T13:54:01.164713
99,549000.6971,4118030.5494,604.9800,1.4907,298.1452,1.4900,1.4900,0.4998,9251.0168,4347.9779,4033,2026-01-27T13:54:01.164713
143,549004.2209,4118001.7747,605.0600,1.1669,233.3797,1.4100,1.4100,0.6042,5282.4316,2482.7429,2984,2026-01-27T13:54:01.164713
154,548990.6896,4118003.0605,604.9800,1.0297,205.9430,1.4900,1.4900,0.7235,4200.4600,1974.2162,1807,2026-01-27T13:54:01.164713
83,549009.5333,4118033.3413,605.2000,1.0126,202.5245,1.2000,1.2000,0.5925,3496.0940,1643.1642,1513,2026-01-27T13:54:01.164713
117,548996.0406,4118026.1156,604.9800,0.8719,174.3880,1.4800,1.4800,0.8487,2932.0382,1378.0579,1414,2026-01-27T13:54:01.164713
120,548997.9093,4118024.9539,604.9800,0.8693,173.8599,1.4900,1.4900,0.8570,2926.4843,1375.4476,755,2026-01-27T13:54:01.164713
25,548979.7161,4118006.9963,604.9800,0.8335,166.6921,1.0200,1.0200,0.6119,2065.0123,970.5558,704,2026-01-27T13:54:01.164713
24,548986.8348,4118008.5960,604.9800,0.7931,158.6127,1.3600,1.3600,0.8575,2260.5533,1062.4600,862,2026-01-27T13:54:01.164713
144,548998.4955,4117999.0512,605.4700,0.7682,153.6457,1.0000,1.0000,0.6508,1712.0291,804.6537,585,2026-01-27T13:54:01.164713
35,548977.8687,4118003.8828,605.0300,0.7595,151.9068,1.4399,1.4399,0.9479,2143.4402,1007.4169,2255,2026-01-27T13:54:01.164713
140,548998.0131,4117994.3780,604.9800,0.7149,142.9860,1.4900,1.4900,1.0421,1928.2205,906.2636,1473,2026-01-27T13:54:01.164713
171,548991.9099,4118008.6316,604.9800,0.7122,142.4430,1.4900,1.4900,1.0460,1912.6291,898.9357,896,2026-01-27T13:54:01.164713
0,548976.7923,4118038.2741,604.9800,0.7052,141.0398,1.4900,1.4900,1.0564,1872.6462,880.1437,749,2026-01-27T13:54:01.164713
216,548998.4243,4118022.2133,604.9900,0.6879,137.5708,1.4300,1.4300,1.0395,1726.5695,811.4876,675,2026-01-27T13:54:01.164713
152,548994.1506,4118000.8771,604.9800,0.6751,135.0149,1.4900,1.4900,1.1036,1706.0619,801.8491,741,2026-01-27T13:54:01.164713
17,548984.5739,4118010.4188,604.9800,0.6432,128.6422,1.0200,1.0200,0.7929,1187.9002,558.3131,617,2026-01-27T13:54:01.164713
52,549015.7416,4117991.7811,604.9800,0.6313,126.2626,1.4900,1.4900,1.1801,1478.7039,694.9908,903,2026-01-27T13:54:01.164713
206,548989.3217,4118017.3922,604.9800,0.6172,123.4470,1.1500,1.1500,0.9316,1180.7525,554.9537,1057,2026-01-27T13:54:01.164713
147,548996.2370,4117999.9479,604.9800,0.5863,117.2610,1.0200,1.0200,0.8699,974.8321,458.1711,402,2026-01-27T13:54:01.164713
13,548964.6284,4118013.9864,605.0100,0.5853,117.0526,1.0400,1.0400,0.8885,984.0764,462.5159,483,2026-01-27T13:54:01.164713
16,548985.3596,4118012.7830,604.9800,0.5841,116.8172,1.3500,1.3500,1.1557,1171.0138,550.3765,647,2026-01-27T13:54:01.164713
160,548994.0359,4118005.0566,605.2600,0.5671,113.4294,1.1300,1.1300,0.9962,973.9005,457.7332,461,2026-01-27T13:54:01.164713
33,548983.2605,4118004.5999,605.0000,0.5479,109.5752,1.4700,1.4700,1.3415,1082.6640,508.8521,570,2026-01-27T13:54:01.164713
122,548992.2507,4118040.6054,604.9900,0.5396,107.9130,1.0000,0.9100,0.8433,805.4819,378.5765,367,2026-01-27T13:54:01.164713
110,548997.3274,4118032.6178,604.9800,0.5272,105.4371,1.4900,1.4900,1.4132,1006.5345,473.0712,1016,2026-01-27T13:54:01.164713
107,549001.0515,4118025.2192,604.9800,0.5257,105.1399,1.0000,0.8800,0.8370,761.9538,358.1183,396,2026-01-27T13:54:01.164713
22,548978.0964,4118007.5995,605.0100,0.5257,105.1335,1.0700,1.0700,1.0178,797.8908,375.0087,608,2026-01-27T13:54:01.164713
98,549000.2874,4118036.8340,604.9800,0.5117,102.3486,1.3300,1.3300,1.2995,874.1485,410.8498,440,2026-01-27T13:54:01.164713
156,548998.2050,4118003.2491,605.2100,0.4989,99.7797,1.2500,1.2500,1.2528,793.6373,373.0095,631,2026-01-27T13:54:01.164713
209,548994.9864,4118018.5011,605.0100,0.4867,97.3482,1.0000,0.7800,0.8012,646.4997,303.8549,137,2026-01-27T13:54:01.164713
190,548995.4990,4118013.0696,604.9800,0.4843,96.8562,1.4900,1.4900,1.5384,839.7633,394.6888,228,2026-01-27T13:54:01.164713
136,549013.2302,4117983.0492,605.4700,0.4776,95.5210,1.0000,1.0000,1.0469,620.8799,291.8135,401,2026-01-27T13:54:01.164713
173,549006.0830,4118012.2989,605.7600,0.4457,89.1332,1.0000,0.7000,0.7854,535.6248,251.7437,161,2026-01-27T13:54:01.164713
37,548988.2304,4118004.0739,604.9900,0.4432,88.6413,1.1500,1.1500,1.2974,582.3641,273.7111,485,2026-01-27T13:54:01.164713
119,548998.4065,4118041.7488,604.9800,0.4408,88.1644,1.0000,0.6100,0.6919,523.2776,245.9405,195,2026-01-27T13:54:01.164713
66,549010.8739,4117998.0516,604.9800,0.4276,85.5139,1.4900,1.4900,1.7424,643.7644,302.5693,1201,2026-01-27T13:54:01.164713
12,548970.7303,4118014.6831,605.0100,0.4251,85.0280,1.0000,0.6800,0.7997,484.3526,227.6457,148,2026-01-27T13:54:01.164713
84,549009.6338,4118030.3452,605.1800,0.4249,84.9797,1.0000,0.7300,0.8590,483.7653,227.3697,143,2026-01-27T13:54:01.164713
229,548995.6813,4118029.0705,604.9800,0.4187,83.7389,1.0000,0.4200,0.5016,468.8167,220.3439,155,2026-01-27T13:54:01.164713
151,548997.2820,4118002.7187,604.9800,0.4186,83.7215,1.0000,0.9500,1.1347,468.6094,220.2464,263,2026-01-27T13:54:01.164713
67,549014.2858,4118002.2317,605.0000,0.4183,83.6649,1.4700,1.4700,1.7570,608.7726,286.1231,758,2026-01-27T13:54:01.164713
86,549011.4924,4118031.3925,605.1300,0.4156,83.1291,1.0000,0.9000,1.0827,461.5618,216.9340,213,2026-01-27T13:54:01.164713
105,548997.6944,4118031.2977,604.9800,0.4134,82.6900,1.4900,1.4900,1.8019,599.2460,281.6456,446,2026-01-27T13:54:01.164713
166,548995.6855,4118007.1982,604.9900,0.4029,80.5766,1.4800,1.4800,1.8367,564.4305,265.2823,372,2026-01-27T13:54:01.164713
81,549020.0543,4118032.3355,605.1100,0.3914,78.2794,1.0000,0.5700,0.7282,405.9949,190.8176,143,2026-01-27T13:54:01.164713
172,549004.6279,4118012.3493,605.5700,0.3884,77.6856,1.0000,0.8900,1.1457,399.4509,187.7419,224,2026-01-27T13:54:01.164713
198,548996.8424,4118016.9631,604.9800,0.3829,76.5716,1.4900,1.4900,1.9459,508.5816,239.0334,446,2026-01-27T13:54:01.164713
210,548995.7905,4118019.8897,605.0000,0.3807,76.1377,1.0000,0.8500,1.1164,382.6580,179.8492,173,2026-01-27T13:54:01.164713
40,548980.6176,4118004.4253,605.0000,0.3806,76.1285,1.0000,0.7100,0.9327,382.5588,179.8027,103,2026-01-27T13:54:01.164713
155,548994.4933,4118003.6080,605.0200,0.3776,75.5211,1.4500,1.4500,1.9199,484.7062,227.8119,293,2026-01-27T13:54:01.164713
53,549022.1861,4117992.6665,604.9800,0.3771,75.4203,1.0000,0.8900,1.1801,375.0039,176.2518,197,2026-01-27T13:54:01.164713
50,549016.7841,4117986.7181,604.9800,0.3697,73.9451,1.0000,0.5500,0.7439,359.5252,168.9768,446,2026-01-27T13:54:01.164713
231,548994.5278,4118029.4318,604.9800,0.3650,72.9969,1.0000,0.8000,1.0960,349.7578,164.3862,144,2026-01-27T13:54:01.164713
46,548984.6119,4117991.4252,604.9800,0.3637,72.7392,1.0000,0.7100,0.9761,347.1290,163.1506,232,2026-01-27T13:54:01.164713
75,549010.3857,4118028.8323,605.0900,0.3469,69.3719,1.0000,0.9300,1.3406,313.7339,147.4549,146,2026-01-27T13:54:01.164713
2,548977.5646,4118036.0183,605.5700,0.3381,67.6221,1.0000,0.9000,1.3309,297.0880,139.6314,121,2026-01-27T13:54:01.164713
238,548988.8600,4118034.0745,605.0100,0.3356,67.1136,1.0000,0.6200,0.9238,292.3416,137.4005,91,2026-01-27T13:54:01.164713
